video_id,title,channel,channel_id,published_at,duration_sec,view_count,like_count,comment_count,keyword,layer,subscribers,days_since,vpd,engagement_rate,views_per_sub,description,url,form,year,published_date,content_type
aYb3RhIsK9c,주식·ETF·펀드 투자 전에 이것부터ㅣ금융투자 HOWTO 7편,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2026-06-30T01:32:17Z,1214,11975,75,63,금융투자아카데미 전체,전체업로드,43700,6.2,1931.5,1.152,0.274,"💡 주식·ETF·펀드, 사기 전에 무엇을 봐야 할까요?

같은 상품인데 누구는 더 싸게, 더 안전하게 산다는 사실, 알고 계셨나요? 기업 가치를 보는 PER·PBR부터 현금화 방법, 분산투자, 비용과 세금까지. 투자하기 전 꼭 알아야 할 기준을 알려드립니다.

⏱️ 타임라인
00:00 투자 전 필수 확인사항
01:50 주식투자 기본 원리
02:23 PER·PBR로 보는 기업가치
05:15 투자설명서와 공시 확인법
05:58 펀드·ETF 구조와 선택기준
09:03 투자 상품 성격 이해하기
10:11 주식·ETF 매도와 결제일
11:30 펀드를 현금화하는 방법
12:23 위험, 어떻게 분산될까?
13:04 주식, ETF로 분산 투자
14:43 펀드로 분산 투자
16:16 투자에 드는 비용
17:24 투자 상품에 따른 세금
19:30 스스로 하는 투자 결정

📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 인스타그램 👉 https://www.instagram.com/kcie2018/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 다음채널 👉 https://v.daum.net/channel/3126/home

#투자자교육협의회 #투교협 #금융투자HOWTO #주식투자 #주식 #PER #PBR #ETF #펀드 #투자설명서 #분산투자 #투자위험관리 #금융투자상품 #투자세금 #투자교육 #재테크 #해외ETF",https://www.youtube.com/watch?v=aYb3RhIsK9c,롱폼,2026,2026-06-30,longform
_JXFNyVETWM,"투자 계좌 속 내 자산, 팔지 않고 옮기는 방법은?ㅣ금융투자 HOWTO 6편",금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2026-06-23T08:53:16Z,1007,46443,28,18,금융투자아카데미 전체,전체업로드,43700,12.9,3600.2,0.099,1.0628,"💸 증권사를 바꿔도, 주식 팔지 않아도 됩니다!

오늘은 투자로 모은 자산을 옮기는 방법을 알아봅니다. 다른 증권사로 주식을 이체하는 대체출고부터 ISA·연금저축·IRP 절세계좌 이전, 배우자·가족 증여까지, 계좌 속 자산을 옮길 때 알아두면 좋은 절차와 세금을 정리했습니다.

⏱️ 타임라인
00:00 현명한 투자 계좌 사용법
01:57 증권사 간 주식이체
03:03 펀드판매사 이동 제도
03:31 절세를 위한 계좌 이전
04:39 ISA 계좌이전과 절세
06:04 IRP ⇔ 연금저축 간 이전
08:20 연금저축 ⇒ IRP 이전방법
08:52 IRP ⇒ 연금저축 이전방법
10:13 연금저축 간 이전방법
12:42 보험사 연금저축보험 이전
13:13 부부ᆞ가족 간 증여 이전
13:57 해외주식 배우자 증여
16:05 투자, 관리방법이 중요하다

📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 인스타그램 👉 https://www.instagram.com/kcie2018/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 다음채널 👉 https://v.daum.net/channel/3126/home

#투자자교육협의회 #투교협 #금융투자HOWTO #주식계좌이전 #해외주식 #절세계좌 #ISA #세액공제 #연금저축 #IRP #계약이전제도 #연금저축보험 #부부증여 #주식증여 #주식투자",https://www.youtube.com/watch?v=_JXFNyVETWM,롱폼,2026,2026-06-23,longform
7nBCGozbsPA,"매수 버튼, 언제, 어떻게 눌러야 할까? l 금융투자 HOWTO 5편",금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2026-06-17T01:28:13Z,1179,35976,22,19,금융투자아카데미 전체,전체업로드,43700,19.2,1873.8,0.114,0.8232,"🛒 매수 버튼 하나에도, 알아두면 좋은 순서가 있습니다.

종목을 골랐다면, 이제 주문을 넣을 차례입니다. 오늘은 매수 화면에 들어가는 방법부터 지정가와 시장가의 차이, 주문이 체결되는 원리, 체결 뒤 계좌에서 바뀌는 것들까지 화면을 함께 보며 안내해 드립니다. 사는 것만큼 중요한 매도와 손익, 손절을 어떻게 바라볼지도 함께 다룹니다.

⏱️ 타임스탬프
00:00 이제 매수해 볼까요
01:15 매수 화면 진입 방법
02:29 매수 화면 읽는 방법
06:21 매수 주문 시작하기
08:21 지정가와 시장가 주문
09:36 매수 주문 체결 원리
12:22 주문 내역 확인하기
13:25 가격, 수량 변경 방법
13:48 체결 후 계좌 변화
14:32 주식 주문 수수료와 세금
15:48 주식 매도(손절)와 손익
18:27 주식 매도&매수 완료

📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 인스타그램 👉 https://www.instagram.com/kcie2018/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 다음채널 👉 https://v.daum.net/channel/3126/home

#투자자교육협의회 #투교협 #금융투자HOWTO #주식투자 #주식매수 #주식매도 #손절 #주식초보 #주린이 #초보투자자 #주식어플 #주식MTS #주식상한가 #주식하한가 #주식 #투자교육",https://www.youtube.com/watch?v=7nBCGozbsPA,롱폼,2026,2026-06-17,longform
kQj1e1jBCh8,"MTS 화면, 이제 숫자가 아니라 흐름으로 보세요ㅣ금융투자 HOWTO 4편",금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2026-06-09T00:58:45Z,837,27396,23,11,금융투자아카데미 전체,전체업로드,43700,27.2,1007.2,0.124,0.6269,"📊 복잡해 보이던 MTS 화면, 의미를 알면 시장의 흐름이 보입니다.

계좌를 만들고 처음 MTS를 열면, 빼곡한 숫자와 그래프 앞에서 무엇을 눌러야 할지 알기 어렵습니다. 오늘은 투자를 위해 계좌에 넣어둔 돈인 예수금부터 종목 검색, 차트와 호가창 읽는 방법까지 실제 화면과 함께 안내해 드립니다.

⏱️ 타임스탬프
00:00 처음 보는 MTS 화면
01:04 HTS 화면 이해하기
02:05 MTS 화면 이해하기
02:52 증권계좌에 돈 넣고 시작
03:53 잔고메뉴 살펴보기
04:30 예수금 현황 읽는 방법
06:32 종목 검색ㅣ원하는 기업 찾기
08:11 종목 화면ㅣ차트 읽기
11:06 종목 화면ㅣ호가창 보는법
11:57 현재가와 전일대비 등락률
12:39 종목 탭 활용 방법

📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 인스타그램 👉 https://www.instagram.com/kcie2018/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 다음채널 👉 https://v.daum.net/channel/3126/home

#금융투자HOWTO #MTS #HTS #주식투자 #종목검색 #예수금 #종목화면 #주식초보 #차트보는법 #호가창 #주린이 #주식공부 #투자교육 #투자자교육협의회 #투교협",https://www.youtube.com/watch?v=kQj1e1jBCh8,롱폼,2026,2026-06-09,longform
KUnENpQPke0,"처음 계좌, 10분이면 충분합니다ㅣ금융투자 HOWTO 3편",금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2026-06-02T00:56:47Z,920,127697,47,17,금융투자아카데미 전체,전체업로드,43700,34.2,3733.8,0.05,2.9221,"📱 막막했던 증권 계좌 개설, 영상 따라 하면 10분이면 충분합니다.

증권사 앱은 깔았는데, '계좌 개설하기'를 누르는 순간 위탁계좌, CMA, ISA, IRP… 처음 보는 단어와 수많은 약관 앞에서 막막하셨나요?

오늘은 증권사 앱(MTS)의 계좌 개설 화면을 함께 보며, 각 단계에서 무엇을 어떻게 해야 하는지 차근차근 알려드립니다. 영업점에 가지 않아도, 영상을 그대로 따라 하다 보면 어느새 내 첫 증권 계좌, 손쉽게 만들 수 있습니다.

⏱️ 타임스탬프
00:00 비대면 계좌 개설의 장점
01:07 계좌 개설 사전 준비
02:36 증권사 앱 설치 방법
03:31 앱 실행 & 고객 정보 확인
04:11 필요한 투자 계좌 개설하기
07:42 휴대폰 본인 인증
08:35 거래 약관 검토와 동의
11:03 신분증 촬영으로 실명 확인
11:52 본인 명의 계좌 1원 인증
12:48 투자자 성향 테스트
13:51 계좌 거래 비밀번호 설정
14:33 비대면 계좌 개설 완료

📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 인스타그램 👉 https://www.instagram.com/kcie2018/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 다음채널 👉 https://v.daum.net/channel/3126/home

#금융투자HOWTO #증권계좌개설 #비대면계좌개설 #계좌개설방법 #주식초보 #위탁계좌 #CMA #ISA #IRP #투자자성향테스트 #MTS #투자교육 #투교협 #주린이",https://www.youtube.com/watch?v=KUnENpQPke0,롱폼,2026,2026-06-02,longform
gau2OM3yWFY,주식 투자는 왜 은행이 아니라 증권사에서 할까?ㅣ금융투자 HOWTO 2편,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2026-05-27T01:00:04Z,733,21876,37,33,금융투자아카데미 전체,전체업로드,43700,40.2,544.2,0.32,0.5006,"🏦 은행 앱으로는 주식을 살 수 없는 이유, 증권사가 하는 진짜 역할

매일 쓰는 은행 앱, 주식은 왜 살 수 없을까요? 주식 시장은 누구나 직접 들어가서 거래할 수 있는 곳이 아닙니다. 사는 사람과 파는 사람의 주문을 연결해 주는 창구가 필요하죠. 그 역할을 하는 곳이 바로 증권사입니다.

오늘은 증권사가 어떤 일을 하는지, 내 돈과 주식은 어떻게 보호되는지, 나에게 맞는 증권사는 어떻게 고르면 되는지 알아봅니다.
 
⏱️ 타임스탬프
00:00 주식 투자 은행 앱으로 할 수 있을까?
01:28 증권사는 무슨 일을 할까?
02:25 은행을 통한 펀드 가입
02:58 주식 거래, 계좌 개설이 필요하다!
03:29 거래 가능한 종목은?
04:27 거래소 운영 시간은?
05:41 증권사 계좌의 내 돈, 안전할까?
07:52 투자 정보를 얻는 올바른 방법
09:41 나에게 맞는 증권사 고르는 기준
11:23 클로징
 
📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 인스타그램 👉 https://www.instagram.com/kcie2018/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 다음채널 👉 https://v.daum.net/channel/3126/home

#금융투자HOWTO #주식투자 #주식계좌 #주식거래 #한국예탁결제원 #예탁금 #투자정보 #투자교육 #투자자문사 #증권사고르는법 #투교협 #증권사 #증권거래소",https://www.youtube.com/watch?v=gau2OM3yWFY,롱폼,2026,2026-05-27,longform
qNQ4PEKjGGE,왜 투자를 시작해야 할까?ㅣ금융투자 HOWTO 1편,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2026-05-19T00:30:34Z,824,47835,63,56,금융투자아카데미 전체,전체업로드,43700,48.2,992.4,0.249,1.0946,"📈 예금만 하면 왜 손해일까?
초보 투자자가 가장 먼저 알아야 할 돈의 진실

30년 전 짜장면 한 그릇 2천 원, 지금은 7천 원. 같은 돈으로 살 수 있는 것이 줄어드는 인플레이션 시대, 예금만으로 충분할까요? 명목금리와 실질금리의 차이, 복리의 힘, 그리고 분산 투자가 만드는 30년의 결과까지. 「금융투자 HOWTO」 1편에서 지금 투자를 시작해야 하는 이유를 차근차근 짚어드립니다.
 
⏱️ 타임스탬프
00:00 내 통장 속 현금, 안전할까?
00:47 역사 속 사례로 보는 돈의 가치
02:09 시간이 만드는 돈의 가치 변화
03:50 예금만으로 충분할까?
05:35 내 예금의 진짜 가치
07:38 주식 투자 위험하지 않을까?
08:53 주식 투자 시작해야 하는 이유
11:01 연 7% 수익 가능할까?
12:35 투자 전, 필수 질문 3가지
 
📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 인스타그램 👉 https://www.instagram.com/kcie2018/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 다음채널 👉 https://v.daum.net/channel/3126/home

#금융투자HOWTO #예금과투자 #주식투자 #인플레이션 #복리효과 #장기투자 #투자공부 #투자교육 #투교협 #주린이",https://www.youtube.com/watch?v=qNQ4PEKjGGE,롱폼,2026,2026-05-19,longform
ShYo7oalrVw,"금융, 이제는 '플레이'할 시간! | 파이낸셜 빌리지 금융투자체험관 소개",금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2026-03-19T07:16:56Z,235,245,3,1,금융투자아카데미 전체,전체업로드,43700,109.0,2.2,1.633,0.0056,"👉 체험관 예약하기: https://www.kcie.or.kr/fvill/financial_village/subscribe/
⚠️ 금융투자체험관은 100% 사전 예약제로 운영됩니다.

혹시 '금융투자'가 멀게만 느껴지셨나요?
파이낸셜 빌리지(금융투자체험관)에서 즐기다 보면, 어느새 자본시장의 원리가 자연스럽게 스며듭니다.
━━━━━━━━━━━━━
📍 파이낸셜 빌리지 체험 Point
✔ 진단 & 마인드셋 – FQ(금융지능)지수·투자성향 진단으로 나를 먼저 파악
✔ 미래 설계 – 생애주기별 재무 전략을 직접 수립
✔ CEO 경영수업 – 기업 운영으로 시장의 돈 흐름을 생생하게 경험
✔ 금융투자 게임 – 모의투자게임·보드게임으로 자산 관리를 몸소 체감
✔ 금융위기 탐험 – 역사적 사례로 흔들리지 않는 투자 철학 수립
━━━━━━━━━━━━━
📍 방문 안내
📌 장소: 여의도 금융투자교육원 4층 (영등포구 여의나루로 67-8)
📌 특징: 전 생애 금융 여정을 테마로 한 스토리텔링형 공간
📌 이용: 100% 사전 예약제 (최소 일주일 전 예약 필요)
 

스스로 참여하고 즐기는 사이, 금융·투자의 원리가 내 안에 자연스럽게 스며듭니다.
지금 바로 여러분의 FQ를 업그레이드할 여정을 예약하세요!

#파이낸셜빌리지 #금융투자체험관 #청소년금융교육 #금융교육 #투자교육 #전국투자자교육협의회 #투교협 #체험형교육 #금융리터러시",https://www.youtube.com/watch?v=ShYo7oalrVw,롱폼,2026,2026-03-19,longform
xGMnnBZP7rk,내 인생에 맞춘 주기별 자산관리ㅣ#자산관리 #ISA #연금저축 #IRP #실손보험,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2025-12-23T01:00:30Z,2362,458320,143,54,금융투자아카데미 전체,전체업로드,43700,195.2,2348.0,0.043,10.4879,"💡 전역 후에도 투자, 계속할 수 있을까? 생애주기별 자산관리 로드맵
""전역 후 투자는 어떻게 관리하죠?"" 복무 중에 모은 종잣돈, 전역 후에도 지켜내고 키워가는 방법을 알려드립니다. 단기·중기·장기 자금을 목적별로 나누는 법부터 취업 후 연금저축과 IRP로 노후를 준비하는 전략, 실손보험으로 리스크에 대비하는 방법까지—생애주기에 맞춘 자산관리로 20대부터 시작하는 장기 재무 로드맵을 그려보세요.

⏱️ 타임스탬프
00:00 인트로
00:31 전역후 불규칙한 소득
02:57 종잣돈 지켜야할 이유
05:39 투자, 목표 설정부터!
09:43 균형 잡힌 자금 준비
12:49 시기별 자금 준비
18:00 자금계획 조정과 관리
21:17 노후준비는 연금으로!
33:04 리스크대비는 보험으로!

📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 다음채널 👉 https://v.daum.net/channel/3126/home

#생애주기자산관리 #20대재테크 #복리효과 #ISA와IRP #연금저축 #실손보험",https://www.youtube.com/watch?v=xGMnnBZP7rk,롱폼,2025,2025-12-23,longform
S6sKqaw6s98,월급쟁이도 자산가가 될 수 있다ㅣMZ 머니 헌터스,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2025-12-17T00:36:39Z,49,333,3,1,금융투자아카데미 전체,전체업로드,43700,201.2,1.7,1.201,0.0076,"#shorts #MZ머니헌터스 #세제혜택 #연금저축계좌 #ISA #장기투자 #청년재테크 #재테크전략
　
● 홈페이지 : https://www.kcie.or.kr/
● 네이버 블로그 : https://blog.naver.com/kcie2017
● 페이스북 : https://www.facebook.com/kcie.edu/
● 다음채널 : https://v.daum.net/channel/3126/home",https://www.youtube.com/watch?v=S6sKqaw6s98,쇼츠(60s이하),2025,2025-12-17,shorts
PYz0DS3aUA8,짜장면이 알려준 진실ㅣMZ 머니 헌터스,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2025-12-17T00:31:25Z,36,1512,3,1,금융투자아카데미 전체,전체업로드,43700,201.2,7.5,0.265,0.0346,"#shorts #MZ머니헌터스 #초보투자자 #염승환 #인플레이션 #투자공부 #금융공부
　
● 홈페이지 : https://www.kcie.or.kr/
● 네이버 블로그 : https://blog.naver.com/kcie2017
● 페이스북 : https://www.facebook.com/kcie.edu/
● 다음채널 : https://v.daum.net/channel/3126/home",https://www.youtube.com/watch?v=PYz0DS3aUA8,쇼츠(60s이하),2025,2025-12-17,shorts
kKwy4n6VTRk,월급쟁이도 자산가가 될 수 있다ㅣMZ 머니 헌터스,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2025-12-17T00:30:46Z,412,290784,90,54,금융투자아카데미 전체,전체업로드,43700,201.2,1445.2,0.05,6.6541,"필수 상품은 안하면 손해인 시대! 월급의 단순 저축이 아니라 장기적으로 내 자산 불려 나가는 것이 중요합니다! 세제 혜택 상품과 복리 효과를 통해 차근차근 자산을 불려나가는 법을 알아봅니다.
 
✔️ 월급쟁이도 자산가가 될 수 있다.
✔️ 세제혜택 상품, 복리ㆍ장기투자가 자산격차를 만든다!
　
📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 다음채널 👉 https://v.daum.net/channel/3126/home

#MZ머니헌터스 #세제혜택 #연금저축계좌 #ISA #장기투자 #청년재테크 #재테크전략",https://www.youtube.com/watch?v=kKwy4n6VTRk,롱폼,2025,2025-12-17,longform
xOBVxcZLz1M,첫 월급 어디로 갔지?ㅣMZ 머니 헌터스,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2025-12-17T00:30:39Z,505,183279,65,53,금융투자아카데미 전체,전체업로드,43700,201.2,910.9,0.064,4.194,"첫 월급이 중요한 이유는 평생 돈 습관을 결정짓는 첫 단추이기 때문입니다. 돈을 쓰는 대로 길이 생기고 돈을 모으는 대로 길이 만들어집니다. 우리의 소중한 월급 어떻게 써야 할까요?
  
✔️ 사회초년생의 첫 월급, 어떻게 써야 할까?
✔️ 첫 월급 사용습관이 평생 자산을 좌우
　
📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 다음채널 👉 https://v.daum.net/channel/3126/home

#소비습관 #MZ머니헌터스 #월급사용법 #소액투자 #자산관리 #etf",https://www.youtube.com/watch?v=xOBVxcZLz1M,롱폼,2025,2025-12-17,longform
sBYWzm1co2A,"변화하는 세상, 투자 기회를 찾아라ㅣMZ 머니 헌터스",금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2025-12-17T00:30:32Z,502,153957,51,54,금융투자아카데미 전체,전체업로드,43700,201.2,765.2,0.068,3.523,"뉴스의 나쁜 소식들은 투자자들에게 공포의 단어이기도 하지만, 어떤 투자자들에게는 기회의 단어이기도 하다!? 현명한 투자자들이 변화 속에서 기회를 포착하는 방법에 대해 알아봅니다.
 
✔️ 현명한 투자자는 어떻게 기회를 찾을까?
✔️ 세상의 큰 변화는 투자 기회이자 리스크
　
📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 다음채널 👉 https://v.daum.net/channel/3126/home

#MZ머니헌터스 #초보투자자 #투자방법 #청년재테크 #경제공부 #금융공부",https://www.youtube.com/watch?v=sBYWzm1co2A,롱폼,2025,2025-12-17,longform
PV14waFgnJw,짜장면이 알려준 진실ㅣMZ 머니 헌터스,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2025-12-17T00:30:22Z,444,54077,30,54,금융투자아카데미 전체,전체업로드,43700,201.2,268.8,0.155,1.2375,"부모님이 대학교 다닐 때 500원이었던 짜장면이 지금은 8천 원!? 시간이 지날 수록 줄어들게 되는 현금의 실질 가치. 염블리(염승환 이사)와 함께 내 돈의 미래를 바꾸는 법, 함께 알아봅니다.
 
✔️ 왜 20대부터 투자를 시작해야 하는가?
✔️ 인플레이션은 현금의 가치를 갉아먹음
　
📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 다음채널 👉 https://v.daum.net/channel/3126/home

#MZ머니헌터스 #초보투자자 #염승환 #인플레이션 #투자공부 #금융공부",https://www.youtube.com/watch?v=PV14waFgnJw,롱폼,2025,2025-12-17,longform
6y143Cmw4lY,군장병을 위한 똑똑한 투자전략ㅣ#장병내일준비적금 #ISA계좌 #ETF,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2025-12-16T01:00:08Z,1875,347613,97,54,금융투자아카데미 전체,전체업로드,43700,202.2,1719.2,0.043,7.9545,"💰 이론에서 실전으로! 지금 바로 시작하는 투자 첫걸음
""군 복무 중 투자, 실제로 어떻게 시작하는데?"" 계좌 개설부터 상품 선택까지 구체적인 실전 전략을 안내합니다. ISA 계좌를 복무 중에 만들어야 하는 이유와 신탁형·일임형·중개형 선택 기준을 살펴봅니다. 해외 주식과 암호화폐 투자 시 주의사항, 손실 대처법까지—장기 적립식 투자로 안정적인 자산을 키워가세요.

⏱️ 타임스탬프
00:00 인트로
00:41 군장병 단골 질문
01:52 군복무=투자 최적기
03:44 필수 고려사항, 세금
06:22 ISA 계좌의 모든 것
14:12 분산투자 시작, ETF
20:37 해외투자 어떻게?
24:41 암호화폐 해도될까?
27:14 투자손실 대처방법
28:42 똑똑한 투자전략

📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 다음채널 👉 https://v.daum.net/channel/3126/home

#장병내일준비적금 #ISA #ETF #분산투자 #암호화폐유의점 #해외투자",https://www.youtube.com/watch?v=6y143Cmw4lY,롱폼,2025,2025-12-16,longform
ahSPsP5EPAE,투자 영점 조정—나만의 투자 원칙ㅣ#장병내일준비적금 #투자성향 #군인재테크 #분산투자 #ETF,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2025-12-09T01:00:04Z,1896,478555,120,55,금융투자아카데미 전체,전체업로드,43700,209.2,2287.5,0.037,10.9509,"🎯 투자, 시작하기 전에 꼭 점검해야 할 ‘나만의 투자 영점’!
군대 투자 현황과 초보 투자자의 현실을 사례로 살펴보면서, 집단생활과 규칙적인 월급, 투자 준비 부족으로 인한 손실 경험을 함께 짚어 봅니다. 투자 성향 파악부터 손실 감내력, 분산 투자와 ETF 활용, 장기 적립식 투자까지—나에게 맞는 투자 기준과 원칙을 세우고, 본격적인 투자 시작 전 '영점' 맞추는 방법 함께 알아봅니다.
 
⏱️ 타임스탬프
00:00 인트로
00:10 제약없는 투자환경
02:18 초보투자자 현실
06:31 군대 환경의 이해
08:43 내 투자 MBTI는?
14:30 손실 감내력이 핵심
16:33 군인 맞춤 분산투자
22:07 알고 하는 투자
28:12 ETF로 소액 자동투자
 
📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 다음채널 👉 https://v.daum.net/channel/3126/home

#군인재테크 #초보투자자 #투자성향 #분산투자 #ETF",https://www.youtube.com/watch?v=ahSPsP5EPAE,롱폼,2025,2025-12-09,longform
2er5s6PVJe0,투자를 위한 종잣돈 모으기ㅣ#장병내일준비적금 #군인공제회저축 #병회원저축 #군인적금 #청년도약계좌 #군인월급,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2025-12-02T00:30:02Z,1985,516315,122,54,금융투자아카데미 전체,전체업로드,43700,216.2,2388.1,0.034,11.815,"💰 군 복무 중 꼭 알아야 할 금융 정보 총정리!
장병내일준비적금, 군인공제회 병 회원저축부터 군 월급으로 종잣돈 만드는 법까지. 세금 0원, 의식주 해결되는 군 생활의 장점을 활용해 전역 후 통장에 목돈 만드는 현실 전략을 소개합니다.
　
⏱️ 타임스탬프
00:00 인트로
00:13 군장병 금융투자 로드맵
01:39 18개월 동안 3천만 원?
03:07 병장 월급과 비과세 혜택
05:50 군인, 직장인보다 유리한 이유
09:19 군인 계급별 월급
13:02 장병내일준비적금 납입 전략
19:09 군인공제회 병 회원 저축
23:29 종잣돈 모으기 실전 후기
25:44 장병내일준비적금 1:1매칭
27:45 군장병 3천만 원 로드맵
 
📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 다음채널 👉 https://v.daum.net/channel/3126/home
  
#군장병재테크 #장병내일준비적금 #군인공제회 #병회원저축 #종잣돈만들기",https://www.youtube.com/watch?v=2er5s6PVJe0,롱폼,2025,2025-12-02,longform
1vgTZ7uJOS4,알아두면 돈이 되는 자립지원제도ㅣ#자립준비청년 #자립수당 #기초생활수급자,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2025-07-15T00:00:29Z,1771,108290,69,0,금융투자아카데미 전체,전체업로드,43700,356.3,303.9,0.064,2.478,"자립준비청년이라면 꼭 알아야 할 자립정착금, 자립수당, 주거지원 등 필수 지원제도 총정리! 목돈 관리부터 전세사기 예방법까지, 자립 초기 청년의 안정적 정착을 돕는 현실 꿀팁!
　
⏱ 타임스탬프
0:00 인트로
3:20 내 생애 첫 목돈, 자립정착금
6:11 자립정착금, 어떻게 활용할까?
9:16 자립수당은 어떻게 받을 수 있을까?
10:40 자립수당으로 생활비가 부족할 땐?
12:35 소득이 있어도 기초생활수급비 받을 수 있을까?
15:30 내 상황에 맞는 LH 임대주택 찾기
18:26 청년 주거지원제도, 어떤 게 있을까?
23:00 집 구할 때 꼭 알아야 할 팁
26:09 마무리
　
📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 다음채널 👉 https://v.daum.net/channel/3126/home

#자립준비청년 #자립정착금 #자립수당 #기초생활수급자 #자립준비청년전세임대 #청년정책",https://www.youtube.com/watch?v=1vgTZ7uJOS4,롱폼,2025,2025-07-15,longform
